GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48001,48001,"Anderson County, Texas",3587,9024,9717,8273,3488,3420,4681,2417,821
0500000US48003,48003,"Andrews County, Texas",1169,2427,2167,2170,890,795,893,647,208
0500000US48005,48005,"Angelina County, Texas",5843,10973,10816,11329,5363,5061,7375,3894,1938
0500000US48007,48007,"Aransas County, Texas",1195,2215,2354,3285,1901,1888,3922,2125,612
0500000US48009,48009,"Archer County, Texas",448,841,1007,1351,731,603,865,432,260
0500000US48011,48011,"Armstrong County, Texas",80,155,208,298,156,123,231,133,55
0500000US48013,48013,"Atascosa County, Texas",2982,5982,5863,6084,2536,3005,3907,2002,681
0500000US48015,48015,"Austin County, Texas",1798,2978,3492,3875,2218,1921,3151,1496,534
0500000US48017,48017,"Bailey County, Texas",270,830,1055,514,408,491,463,362,194
0500000US48019,48019,"Bandera County, Texas",964,1628,2092,3164,2046,1862,3251,1326,630
0500000US48021,48021,"Bastrop County, Texas",4393,9189,9954,11183,5357,5693,6565,2581,1351
0500000US48023,48023,"Baylor County, Texas",179,206,393,625,309,204,462,351,75
0500000US48025,48025,"Bee County, Texas",2655,5455,4860,4744,2048,1338,2079,1139,548
0500000US48027,48027,"Bell County, Texas",30737,57141,41624,36910,16937,13503,19202,9384,4008
0500000US48029,48029,"Bexar County, Texas",144538,289109,246749,231808,104386,89828,120963,63408,24833
0500000US48031,48031,"Blanco County, Texas",451,890,1200,1666,738,1279,1473,718,159
0500000US48033,48033,"Borden County, Texas",21,127,73,61,35,29,73,51,11
0500000US48035,48035,"Bosque County, Texas",878,1664,1836,2382,1334,1366,2353,1375,478
0500000US48037,48037,"Bowie County, Texas",6049,12510,12156,12348,6088,5325,8150,4388,1865
0500000US48039,48039,"Brazoria County, Texas",20490,46983,49535,46811,20616,17982,22754,10463,3732
0500000US48041,48041,"Brazos County, Texas",45489,32675,21561,19089,8594,7965,9920,5099,2206
0500000US48043,48043,"Brewster County, Texas",598,1144,1096,1152,796,607,1060,509,177
0500000US48045,48045,"Briscoe County, Texas",115,130,220,207,125,104,202,123,39
0500000US48047,48047,"Brooks County, Texas",1003,958,819,778,209,324,637,431,62
0500000US48049,48049,"Brown County, Texas",2526,4377,4278,4764,2818,2192,4089,2354,774
0500000US48051,48051,"Burleson County, Texas",933,1901,1891,2373,1297,1235,1974,1036,376
0500000US48053,48053,"Burnet County, Texas",2788,4144,5252,5515,3235,3447,5472,3037,964
0500000US48055,48055,"Caldwell County, Texas",3453,5150,4960,5216,2613,2223,3132,1414,742
0500000US48057,48057,"Calhoun County, Texas",1156,2789,2470,2914,1481,1334,1990,1063,425
0500000US48059,48059,"Callahan County, Texas",569,1412,1485,1921,973,1044,1514,937,222
0500000US48061,48061,"Cameron County, Texas",31122,50686,52534,46521,22001,18099,28755,17169,5888
0500000US48063,48063,"Camp County, Texas",877,1404,1228,1673,923,756,1212,750,232
0500000US48065,48065,"Carson County, Texas",293,690,659,809,457,379,553,353,107
0500000US48067,48067,"Cass County, Texas",1482,3157,3469,4008,2177,2038,3687,1991,775
0500000US48069,48069,"Castro County, Texas",601,800,936,915,444,516,496,510,85
0500000US48071,48071,"Chambers County, Texas",2286,4866,5127,5656,2518,2047,2594,963,435
