GEO.id,GEO.id2,Geography,Estimate; INCOME AND BENEFITS - Total households - Mean household income (dollars)
0500000US48001,48001,"Anderson County, Texas",57638
0500000US48003,48003,"Andrews County, Texas",87591
0500000US48005,48005,"Angelina County, Texas",58796
0500000US48007,48007,"Aransas County, Texas",72808
0500000US48009,48009,"Archer County, Texas",74568
0500000US48011,48011,"Armstrong County, Texas",74385
0500000US48013,48013,"Atascosa County, Texas",69844
0500000US48015,48015,"Austin County, Texas",73091
0500000US48017,48017,"Bailey County, Texas",48916
0500000US48019,48019,"Bandera County, Texas",69329
0500000US48021,48021,"Bastrop County, Texas",72277
0500000US48023,48023,"Baylor County, Texas",63180
0500000US48025,48025,"Bee County, Texas",60079
0500000US48027,48027,"Bell County, Texas",66128
0500000US48029,48029,"Bexar County, Texas",71023
0500000US48031,48031,"Blanco County, Texas",77041
0500000US48033,48033,"Borden County, Texas",125823
0500000US48035,48035,"Bosque County, Texas",61922
0500000US48037,48037,"Bowie County, Texas",62975
0500000US48039,48039,"Brazoria County, Texas",89752
0500000US48041,48041,"Brazos County, Texas",64808
0500000US48043,48043,"Brewster County, Texas",58670
0500000US48045,48045,"Briscoe County, Texas",53797
0500000US48047,48047,"Brooks County, Texas",42668
0500000US48049,48049,"Brown County, Texas",57021
0500000US48051,48051,"Burleson County, Texas",67280
0500000US48053,48053,"Burnet County, Texas",70619
0500000US48055,48055,"Caldwell County, Texas",62620
0500000US48057,48057,"Calhoun County, Texas",66127
0500000US48059,48059,"Callahan County, Texas",54459
0500000US48061,48061,"Cameron County, Texas",50150
0500000US48063,48063,"Camp County, Texas",54547
0500000US48065,48065,"Carson County, Texas",75057
0500000US48067,48067,"Cass County, Texas",52102
0500000US48069,48069,"Castro County, Texas",63002
0500000US48071,48071,"Chambers County, Texas",86183
0500000US48073,48073,"Cherokee County, Texas",55903
0500000US48075,48075,"Childress County, Texas",51321
0500000US48077,48077,"Clay County, Texas",65740
0500000US48079,48079,"Cochran County, Texas",55595
0500000US48081,48081,"Coke County, Texas",58285
0500000US48083,48083,"Coleman County, Texas",60340
0500000US48085,48085,"Collin County, Texas",110245
0500000US48087,48087,"Collingsworth County, Texas",55178
0500000US48089,48089,"Colorado County, Texas",66196
0500000US48091,48091,"Comal County, Texas",89816
0500000US48093,48093,"Comanche County, Texas",52333
0500000US48095,48095,"Concho County, Texas",64577
0500000US48097,48097,"Cooke County, Texas",72219
0500000US48099,48099,"Coryell County, Texas",62384
0500000US48101,48101,"Cottle County, Texas",46202
0500000US48103,48103,"Crane County, Texas",75704
0500000US48105,48105,"Crockett County, Texas",63013
0500000US48107,48107,"Crosby County, Texas",53283
0500000US48109,48109,"Culberson County, Texas",47380
0500000US48111,48111,"Dallam County, Texas",56493
0500000US48113,48113,"Dallas County, Texas",77675
0500000US48115,48115,"Dawson County, Texas",61896
0500000US48117,48117,"Deaf Smith County, Texas",59127
0500000US48119,48119,"Delta County, Texas",53350
0500000US48121,48121,"Denton County, Texas",99744
0500000US48123,48123,"DeWitt County, Texas",76889
0500000US48125,48125,"Dickens County, Texas",55799
0500000US48127,48127,"Dimmit County, Texas",54900
0500000US48129,48129,"Donley County, Texas",55084
0500000US48131,48131,"Duval County, Texas",53381
