GEO.id,GEO.id2,Geography,Total population,Total population - Hispanic or Latino (of any race),Total population - Not Hispanic or Latino,Total population - Not Hispanic or Latino - White alone,Total population - Not Hispanic or Latino - Black or African American alone,Total population - Not Hispanic or Latino - Asian alone
0500000US48001,48001,"Anderson County, Texas",57772,9799,47973,34680,12246,336
0500000US48003,48003,"Andrews County, Texas",17215,9360,7855,7250,256,36
0500000US48005,48005,"Angelina County, Texas",87657,18505,69152,54060,12783,885
0500000US48007,48007,"Aransas County, Texas",24729,6496,18233,16836,400,249
0500000US48009,48009,"Archer County, Texas",8750,722,8028,7751,60,43
0500000US48011,48011,"Armstrong County, Texas",1913,243,1670,1601,14,0
0500000US48013,48013,"Atascosa County, Texas",47710,30094,17616,16610,351,149
0500000US48015,48015,"Austin County, Texas",29107,7423,21684,18573,2468,15
0500000US48017,48017,"Bailey County, Texas",7131,4401,2730,2533,152,35
0500000US48019,48019,"Bandera County, Texas",21015,3718,17297,16636,142,40
0500000US48021,48021,"Bastrop County, Texas",78286,27528,50758,42621,6108,689
0500000US48023,48023,"Baylor County, Texas",3639,304,3335,3153,67,0
0500000US48025,48025,"Bee County, Texas",32706,18940,13766,10682,2613,155
0500000US48027,48027,"Bell County, Texas",330859,77879,252980,159103,68794,8813
0500000US48029,48029,"Bexar County, Texas",1858699,1105240,753459,536935,132227,48891
0500000US48031,48031,"Blanco County, Texas",10918,2061,8857,8515,2,77
0500000US48033,48033,"Borden County, Texas",698,33,665,653,0,0
0500000US48035,48035,"Bosque County, Texas",17953,3049,14904,14239,246,77
0500000US48037,48037,"Bowie County, Texas",93483,6756,86727,60614,22300,946
0500000US48039,48039,"Brazoria County, Texas",338419,98927,239492,169092,43217,20699
0500000US48041,48041,"Brazos County, Texas",209896,51664,158232,120182,21558,12519
0500000US48043,48043,"Brewster County, Texas",9188,4040,5148,4789,25,149
0500000US48045,48045,"Briscoe County, Texas",1672,522,1150,1049,34,0
0500000US48047,48047,"Brooks County, Texas",7217,6819,398,385,7,0
0500000US48049,48049,"Brown County, Texas",37935,7967,29968,27742,1569,192
0500000US48051,48051,"Burleson County, Texas",17417,3463,13954,11486,2147,69
0500000US48053,48053,"Burnet County, Texas",44584,9589,34995,33231,804,317
0500000US48055,48055,"Caldwell County, Texas",39848,19853,19995,16667,2782,46
0500000US48057,48057,"Calhoun County, Texas",21805,10432,11373,9518,594,1006
0500000US48059,48059,"Callahan County, Texas",13596,1213,12383,11845,188,39
0500000US48061,48061,"Cameron County, Texas",418785,372685,46100,40622,1597,2580
0500000US48063,48063,"Camp County, Texas",12631,2989,9642,7125,2094,58
0500000US48065,48065,"Carson County, Texas",6027,576,5451,5231,51,21
0500000US48067,48067,"Cass County, Texas",30346,1285,29061,23236,5268,129
0500000US48069,48069,"Castro County, Texas",7875,4951,2924,2675,66,46
