GEO.id,GEO.id2,Geography,SEX AND AGE - Total population,SEX AND AGE - Total population - Male,SEX AND AGE - Total population - Female
0500000US48001,48001,"Anderson County, Texas",57772,35381,22391
0500000US48003,48003,"Andrews County, Texas",17215,8734,8481
0500000US48005,48005,"Angelina County, Texas",87657,42765,44892
0500000US48007,48007,"Aransas County, Texas",24729,12246,12483
0500000US48009,48009,"Archer County, Texas",8750,4344,4406
0500000US48011,48011,"Armstrong County, Texas",1913,973,940
0500000US48013,48013,"Atascosa County, Texas",47710,23760,23950
0500000US48015,48015,"Austin County, Texas",29107,14358,14749
0500000US48017,48017,"Bailey County, Texas",7131,3787,3344
0500000US48019,48019,"Bandera County, Texas",21015,10420,10595
0500000US48021,48021,"Bastrop County, Texas",78286,39861,38425
0500000US48023,48023,"Baylor County, Texas",3639,1759,1880
0500000US48025,48025,"Bee County, Texas",32706,19761,12945
0500000US48027,48027,"Bell County, Texas",330859,165045,165814
0500000US48029,48029,"Bexar County, Texas",1858699,915173,943526
0500000US48031,48031,"Blanco County, Texas",10918,5501,5417
0500000US48033,48033,"Borden County, Texas",698,374,324
0500000US48035,48035,"Bosque County, Texas",17953,8845,9108
0500000US48037,48037,"Bowie County, Texas",93483,47076,46407
0500000US48039,48039,"Brazoria County, Texas",338419,171456,166963
0500000US48041,48041,"Brazos County, Texas",209896,106391,103505
0500000US48043,48043,"Brewster County, Texas",9188,4363,4825
0500000US48045,48045,"Briscoe County, Texas",1672,849,823
0500000US48047,48047,"Brooks County, Texas",7217,3706,3511
0500000US48049,48049,"Brown County, Texas",37935,18756,19179
0500000US48051,48051,"Burleson County, Texas",17417,8687,8730
0500000US48053,48053,"Burnet County, Texas",44584,22025,22559
0500000US48055,48055,"Caldwell County, Texas",39848,20019,19829
0500000US48057,48057,"Calhoun County, Texas",21805,11039,10766
0500000US48059,48059,"Callahan County, Texas",13596,6528,7068
0500000US48061,48061,"Cameron County, Texas",418785,202517,216268
0500000US48063,48063,"Camp County, Texas",12631,6191,6440
0500000US48065,48065,"Carson County, Texas",6027,2846,3181
0500000US48067,48067,"Cass County, Texas",30346,14694,15652
0500000US48069,48069,"Castro County, Texas",7875,4002,3873
0500000US48071,48071,"Chambers County, Texas",38072,18954,19118
0500000US48073,48073,"Cherokee County, Texas",51257,26069,25188
0500000US48075,48075,"Childress County, Texas",7059,3954,3105
0500000US48077,48077,"Clay County, Texas",10367,5177,5190
0500000US48079,48079,"Cochran County, Texas",2955,1512,1443
0500000US48081,48081,"Coke County, Texas",3228,1682,1546
0500000US48083,48083,"Coleman County, Texas",8476,4277,4199
0500000US48085,48085,"Collin County, Texas",886633,435186,451447
0500000US48087,48087,"Collingsworth County, Texas",3032,1537,1495
0500000US48089,48089,"Colorado County, Texas",20792,10306,10486
0500000US48091,48091,"Comal County, Texas",124234,61175,63059
0500000US48093,48093,"Comanche County, Texas",13506,6708,6798
0500000US48095,48095,"Concho County, Texas",4142,2851,1291
0500000US48097,48097,"Cooke County, Texas",38878,19299,19579
0500000US48099,48099,"Coryell County, Texas",75710,37638,38072
0500000US48101,48101,"Cottle County, Texas",1560,763,797
0500000US48103,48103,"Crane County, Texas",4823,2462,2361
0500000US48105,48105,"Crockett County, Texas",3836,1894,1942
0500000US48107,48107,"Crosby County, Texas",5987,2908,3079
0500000US48109,48109,"Culberson County, Texas",2259,1168,1091
0500000US48111,48111,"Dallam County, Texas",7052,3730,3322
0500000US48113,48113,"Dallas County, Texas",2513054,1238199,1274855
0500000US48115,48115,"Dawson County, Texas",13317,7478,5839
0500000US48117,48117,"Deaf Smith County, Texas",19039,9478,9561
0500000US48119,48119,"Delta County, Texas",5226,2543,2683
0500000US48121,48121,"Denton County, Texas",754650,371110,383540
0500000US48123,48123,"DeWitt County, Texas",20660,10847,9813
0500000US48125,48125,"Dickens County, Texas",2237,1160,1077
0500000US48127,48127,"Dimmit County, Texas",10842,5243,5599
0500000US48129,48129,"Donley County, Texas",3506,1785,1721
0500000US48131,48131,"Duval County, Texas",11510,5882,5628
0500000US48133,48133,"Eastland County, Texas",18252,9045,9207
0500000US48135,48135,"Ector County, Texas",153177,77333,75844
0500000US48137,48137,"Edwards County, Texas",2028,935,1093
0500000US48139,48139,"Ellis County, Texas",160225,79024,81201
0500000US48141,48141,"El Paso County, Texas",833592,408310,425282
0500000US48143,48143,"Erath County, Texas",40641,19969,20672
0500000US48145,48145,"Falls County, Texas",17265,8234,9031
0500000US48147,48147,"Fannin County, Texas",33757,17824,15933
0500000US48149,48149,"Fayette County, Texas",24909,12292,12617
0500000US48151,48151,"Fisher County, Texas",3847,1807,2040
0500000US48153,48153,"Floyd County, Texas",6088,2961,3127
0500000US48155,48155,"Foard County, Texas",1320,642,678
0500000US48157,48157,"Fort Bend County, Texas",683756,335925,347831
0500000US48159,48159,"Franklin County, Texas",10571,5369,5202
0500000US48161,48161,"Freestone County, Texas",19585,10246,9339
0500000US48163,48163,"Frio County, Texas",18542,10950,7592
0500000US48165,48165,"Gaines County, Texas",19485,9940,9545
0500000US48167,48167,"Galveston County, Texas",314485,155271,159214
0500000US48169,48169,"Garza County, Texas",6614,4213,2401
0500000US48171,48171,"Gillespie County, Texas",25732,12550,13182
0500000US48173,48173,"Glasscock County, Texas",1253,670,583
0500000US48175,48175,"Goliad County, Texas",7463,3754,3709
