GEO.id,GEO.id2,Geography,Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
0400000US01,1,Alabama,4841164,193503,4647661
0400000US02,2,Alaska,736855,49031,687824
0400000US04,4,Arizona,6728577,2054849,4673728
0400000US05,5,Arkansas,2968472,207049,2761423
0400000US06,6,California,38654206,14903982,23750224
0400000US08,8,Colorado,5359295,1132292,4227003
0400000US09,9,Connecticut,3588570,537728,3050842
0400000US10,10,Delaware,934695,82662,852033
0400000US11,11,District of Columbia,659009,69106,589903
0400000US12,12,Florida,19934451,4806854,15127597
0400000US13,13,Georgia,10099320,926990,9172330
0400000US15,15,Hawaii,1413673,141827,1271846
0400000US16,16,Idaho,1635483,195589,1439894
0400000US17,17,Illinois,12851684,2136474,10715210
0400000US18,18,Indiana,6589578,429522,6160056
0400000US19,19,Iowa,3106589,172707,2933882
0400000US20,20,Kansas,2898292,327739,2570553
0400000US21,21,Kentucky,4411989,146945,4265044
0400000US22,22,Louisiana,4645670,223408,4422262
0400000US23,23,Maine,1329923,19772,1310151
0400000US24,24,Maryland,5959902,550146,5409756
0400000US25,25,Massachusetts,6742143,731739,6010404
0400000US26,26,Michigan,9909600,474381,9435219
0400000US27,27,Minnesota,5450868,276026,5174842
0400000US28,28,Mississippi,2989192,86704,2902488
0400000US29,29,Missouri,6059651,237284,5822367
0400000US30,30,Montana,1023391,34841,988550
0400000US31,31,Nebraska,1881259,191802,1689457
0400000US32,32,Nevada,2839172,790497,2048675
0400000US33,33,New Hampshire,1327503,43500,1284003
0400000US34,34,New Jersey,8915456,1719831,7195625
0400000US35,35,New Mexico,2082669,995831,1086838
0400000US36,36,New York,19697457,3661929,16035528
0400000US37,37,North Carolina,9940828,884763,9056065
0400000US38,38,North Dakota,736162,22997,713165
0400000US39,39,Ohio,11586941,400932,11186009
0400000US40,40,Oklahoma,3875589,381467,3494122
0400000US41,41,Oregon,3982267,494806,3487461
0400000US42,42,Pennsylvania,12783977,843164,11940813
0400000US44,44,Rhode Island,1054491,148375,906116
0400000US45,45,South Carolina,4834605,258361,4576244
0400000US46,46,South Dakota,851058,29187,821871
0400000US47,47,Tennessee,6548009,327345,6220664
0400000US48,48,Texas,26956435,10413150,16543285
0400000US49,49,Utah,2948427,397915,2550512
0400000US50,50,Vermont,626249,10900,615349
0400000US51,51,Virginia,8310301,725092,7585209
0400000US53,53,Washington,7073146,854275,6218871
0400000US54,54,West Virginia,1846092,26247,1819845
0400000US55,55,Wisconsin,5754798,371205,5383593
0400000US56,56,Wyoming,583029,56386,526643
0400000US72,72,Puerto Rico,3529385,3492166,37219
