GEO.id,GEO.id2,20-24 years old,25-34 years old,35-44 years old,45-54 years old,55-59 years old,60-64 years old,65-74 years old,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over,Total population,Hispanic Population Total,Non-Hispanic Population Total,White Population Total,African American Population Total,Asian Population Total,SEX AND AGE - Total population,Male Population Total,Female Population Total,Mean Household Income,Millennial Population,% Hispanic Population,% Male Population,Target Population Quantity
0500000US48201,48201,320151,718046,633095,565231,256063,211337,251531,113737,43550,4434257,1855604,2578653,1382851,821066,293797,4434257,2205342,2228915,83156,1038197,0.41847010671686374,0.49734194477225835,216072
0500000US48157,48157,39935,85049,104477,98512,46350,35135,42339,17012,5562,683756,164065,519691,238565,138876,127669,683756,335925,347831,115875,124984,0.23994670613493702,0.49129367786169337,14734
0500000US48339,48339,30868,65426,71498,73404,34067,29477,39460,16920,6218,518849,116429,402420,356462,22110,13244,518849,256808,262041,100283,96294,0.22439862079333295,0.4949571069810292,10695
0500000US48039,48039,20490,46983,49535,46811,20616,17982,22754,10463,3732,338419,98927,239492,169092,43217,20699,338419,171456,166963,89752,67473,0.2923210576238332,0.5066382206672794,9993
0500000US48167,48167,19822,41608,40880,44871,21861,19616,24319,11552,4359,314485,74081,240404,183283,40140,10145,314485,155271,159214,87270,61430,0.23556290443105393,0.4937310205574193,7145
0500000US48291,48291,5602,10771,10157,10760,5200,4407,6317,2800,962,78598,16282,62316,52544,8011,513,78598,38970,39628,64448,16373,0.20715539835619226,0.4958141428535077,1682
0500000US48473,48473,5951,4728,4650,5481,3110,1996,3463,1225,693,47049,13657,33392,20303,11734,377,47049,23520,23529,72273,10679,0.29027184424748664,0.49990435503411335,1550
0500000US48071,48071,2286,4866,5127,5656,2518,2047,2594,963,435,38072,8047,30025,25934,3049,518,38072,18954,19118,86183,7152,0.21136268123555368,0.49784618617356585,753
0500000US48015,48015,1798,2978,3492,3875,2218,1921,3151,1496,534,29107,7423,21684,18573,2468,15,29107,14358,14749,73091,4776,0.2550245645377401,0.49328340261792697,601
0500000US48013,48013,2982,5982,5863,6084,2536,3005,3907,2002,681,47710,30094,17616,16610,351,149,47710,23760,23950,69844,8964,0.6307692307692307,0.4980088031859149,2816
0500000US48019,48019,964,1628,2092,3164,2046,1862,3251,1326,630,21015,3718,17297,16636,142,40,21015,10420,10595,69329,2592,0.17692124672852724,0.49583630739947654,227
0500000US48029,48029,144538,289109,246749,231808,104386,89828,120963,63408,24833,1858699,1105240,753459,536935,132227,48891,1858699,915173,943526,71023,433647,0.5946309757523945,0.49237289093069936,126963
0500000US48091,48091,6645,13276,14879,17923,9497,9039,13159,5993,2381,124234,32746,91488,86024,2430,1221,124234,61175,63059,89816,19921,0.26358323808297246,0.4924175346523496,2586
0500000US48187,48187,9125,18330,20333,20931,9283,7326,11419,5754,1983,147313,54412,92901,76796,9774,2419,147313,72752,74561,79411,27455,0.36936319265781026,0.4938600123546462,5008
0500000US48259,48259,2018,3367,4792,5583,2842,2836,4324,2255,869,39010,8732,30278,29055,269,301,39010,18735,20275,100473,5385,0.22384004101512434,0.48026147141758524,579
0500000US48325,48325,3333,5652,5645,6779,3474,2836,4362,2196,788,47920,24367,23553,21622,1004,248,47920,25100,22820,73950,8985,0.5084933222036728,0.5237896494156928,2393
0500000US48493,48493,2631,5000,5759,7078,3348,3123,4097,1697,966,46444,17999,28445,26978,619,116,46444,23309,23135,81361,7631,0.3875419860477134,0.5018732236672121,1484
