,Address,City,Grocery Store
0,802 Milam St,Houston,Just Poppin Popcorn
1,1130 Travis St,Houston,Travis Food Store
2,914 Main St,Houston,Amogh Gelato Blue
3,930 Main St,Houston,Rico
4,1001 Texas St,Houston,Binz 1001 Texas Ave
5,1101 Main St,Houston,Main Food Store
6,420 Main St,Houston,Georgia's Market
7,1301 Fannin St,Houston,Atlantic Trading
8,1200 McKinney St,Houston,The Herb Shop
9,1201 Holly St,Houston,Eaton Manufacturing
10,1019 Andrews St,Houston,Song Huan Xu
11,1409 Robin St,Houston,Waddys Grocery Store
12,2215 Washington Ave,Houston,Mid-Century Pavilion
13,2313 Bagby St,Houston,Midtown Food Store
14,2225 Louisiana St,Houston,Randalls
15,2305 Center St,Houston,Long Life Natural Center
16,2004 Houston Ave,Houston,Oscar Food Mart
17,2018 Rusk St,Houston,Epicurean Express Market
18,1505 Sawyer St,Houston,Itc International
19,101 Chartres St,Houston,Idf
20,88 Dennis St,Houston,Lankford Grocery & Market
21,2202 Lamar St,Houston,Global Coffee Co
22,305 Tuam St,Houston,Sunny's Food Store
23,2110 Jefferson St,Houston,Double Nine Ginseng Herb
24,702 W Gray St,Houston,Shah Foodmart
25,2201 Jefferson St,Houston,A F Imports & Wholesale Co
26,2124 N Main St,Houston,North Main Nutrition Center
27,2902 Caroline St,Houston,Wonton Food Corporation
28,2604 Leeland St,Houston,Leeland's Wholesale Grocery & Restaurant Supply
29,803 Quitman St,Houston,Del's Icecream Shop
30,3400 Travis St,Houston,Thien Thao Chinese Herbs-Ginseng
31,3000 Hicks St,Houston,Grocers Supply Co
32,1906 Chapman St,Houston,Food City
33,2220 McGowen St,Houston,Charles Food Store
34,1707 Hardy St,Houston,Wong Food Market
35,1020 Quitman St,Houston,Fiesta Mart
36,2601 N Main St,Houston,Falcon Drive In Grocery
37,1324 W Clay St,Houston,Chocolates El Rey
38,2519 McGowen St,Houston,McGowen Food Store
39,3321 Stanford St,Houston,First Stop Food Store
40,2218 Chapman St,Houston,Tommy Food Market
41,701 Waugh Dr,Houston,Whole Foods Market
42,3803 San Jacinto St,Houston,King Fuels Food Store 4
43,2618 McGowen St,Houston,Community Food Store
44,303 Bayland Ave,Houston,First Stop Food Store
45,677 Woodland St,Houston,Orange Leaf Frozen Yogurt
46,3407 Montrose Blvd,Houston,Tutti Frutti Frozen Yogurt
47,1620 Quitman St,Houston,Sunny Food Store
48,709 W Alabama St,Houston,Sun Food Marts
49,2920 White Oak Dr,Houston,Lucky Food Store
50,2502 Hardy St,Houston,R & V Food Store
51,413 Jackson Hill St,Houston,Jacksonhill Food Market
52,735 Studewood St,Houston,Woods Food Mart
53,2720 Chapman St,Houston,Luzon Food Mart
54,4200 San Jacinto St,Houston,Fiesta Mart
55,1412 Westheimer Rd,Houston,Mazatec Garden
56,3227 McGowen St,Houston,John's Washateria & Food Mart
57,3015 Sauer St,Houston,Lim Eddy Market
58,1612 Scott St,Houston,Sundial Mini Mart
59,3510 Leeland St,Houston,Cuz-N-Laws Wholesale Food & Paper Goods District Co
60,3939 Montrose Blvd,Houston,Sweet Cup
61,2817 Hardy St,Houston,Lone Star Food Mart
62,3108 Ennis St,Houston,James Food Store
63,4005 Montrose Blvd,Houston,Diedrich Coffee
64,3301 Green St,Houston,P & H Food Mart
65,310 Milby St,Houston,Milby Food Mart
66,3621 Canal St,Houston,El Mante Mini Market
67,402 Yale St,Houston,Cal-Tex Citrus Juice
68,1124 Gregg St,Houston,Lc Food Store
69,3125 Rosalie St,Houston,Shelby's Superette
70,4615 San Jacinto St,Houston,King Fuels Food Store 2
71,2101 Dunlavy St,Houston,Time Food Mart
72,550 Heights Blvd,Houston,Revival Market
73,2706 Alabama St,Houston,Alabama Food Store
74,1423 Gregg St,Houston,L & L Market
75,3329 Anita St,Houston,V & V Food Market
76,745 E 10th St,Houston,Colon Health & Nutrition Center
77,1501 Blodgett St,Houston,J's Food Mart
78,2709 Quitman St,Houston,Olympic Grease Service
79,3900 Harrisburg Blvd,Houston,Maximus Coffee Group
80,1225 Bringhurst St,Houston,King Food Center
81,1660 Westheimer Rd,Houston,Hollywood Food Store
82,3606 Irvington Blvd,Houston,All In One Food Store
83,4102 Canal St,Houston,Bentke's Food Market
84,3808 Market St,Houston,Market Street Grocery
85,3800 Irvington Blvd,Houston,Amigo Food Market
86,4620 Washington Ave,Houston,Mid-Town Food Mart
87,2606 Wheeler St,Houston,Holiday Food Store
88,318 Shepherd Dr,Houston,Shepherd Food Store
89,3130 Alabama St,Houston,Alabama Food Market
90,645 E 11th St,Houston,Metro Mart
91,3301 Lee St,Houston,J & J Grocery
92,4115 Gillespie St,Houston,National Vinegar Co
93,3014 Scott St,Houston,Houston Food Mart
94,4208 Navigation Blvd,Houston,Piazze
95,3722 Drew St,Houston,Aurora Food Market
96,1415 Richmond Ave,Houston,Pak's Food Store
97,3803 Dunlavy St,Houston,Fiesta Mart
98,4717 Eli St,Houston,Shift Gears
99,948 Heights Blvd,Houston,Heights Food Store
100,3247 Truxillo St,Houston,Corner Food Mart
101,4114 Fulton St,Houston,Fiesta Mart
102,4825 Washington Ave,Houston,Bright & Early
103,3341 Winbern St,Houston,Sandy's Food Market
104,3401 Holman St,Houston,Twee's Corner Food Store
105,507 W Patton St,Houston,Patton Corner Food Store
106,4430 Canal St,Houston,Wing-On Food Market
107,3802 Hardy St,Houston,H & M Food Market
108,1903 S Shepherd Dr,Houston,Super K Food Store
109,609 Patton St,Houston,Gerardo's Drive-In
110,3400 Liberty Rd,Houston,Liberty Food Store
111,3718 Lee St,Houston,P & P Foodmart
112,4401 Buck St,Houston,American Food Store
113,3520 Liberty Rd,Houston,Roy Grocery Store
114,1835 W Alabama St,Houston,The Chocolate Bar
115,1407 Studewood St,Houston,Fiesta Mart
116,91 S Lockwood Dr,Houston,Quik Store
117,2075 Westheimer Rd,Houston,Randalls
118,5203 Dowling St,Houston,Southmore Market
119,3801 Liberty Rd,Houston,Lum's Grocery
120,3801 Liberty Rd,Houston,Liberty Food Market
121,1001 Moy St,Houston,Df Food Store
122,511 Schweikhardt St,Houston,Golden Food Market
123,2801 Collingsworth St,Houston,Marcos Food Mart
124,3115 Roland St,Houston,Village Food Market
125,4412 Lyons Ave,Houston,Coghlan Grocery Store
126,1833 Richmond Ave,Houston,Variedades Puebla
127,1853 Richmond Ave,Houston,Super Mercado Michoacana
128,3545 Wheeler St,Houston,Bmb Food Store
129,4634 Market St,Houston,Peter's Food Market
130,5701 Almeda Rd,Houston,Capital Sales Damaged Freight Groceries
131,4634 Irvington Blvd,Houston,Corner Food Mart
132,805 Dumble St,Houston,Pat Food Store
133,4800 Clinton Dr,Houston,American Bag Manufacturing
134,2528 Calumet St,Houston,Mom Food Store
135,4702 Lyons Ave,Houston,First Grocery
136,1931 Portsmouth St,Houston,Quixtar Ibo
137,5710 Memorial Dr,Houston,Teahouse Beverage
138,5218 Sherman St,Houston,Los Pirules Grocery
139,1412 Cavalcade St,Houston,Pay N Save Food Store
140,1002 N Shepherd Dr,Houston,A & G Food Store
141,910 N Durham Dr,Houston,Runny Food Store
142,3942 Scott St,Houston,Quik Stop
143,1010 W Cavalcade St,Houston,Asia Market
144,1001 Telephone Rd,Houston,S & O Grocery
145,5306 Canal St,Houston,Rosario's-Mistic
146,3145 Crane St,Houston,Hollywood Food Store
