,Address,City,Grocery Store,Houston Lat,Houston Lng,San An Lat,San An Lng
0,802 Milam St,Houston,Just Poppin Popcorn,29.759347,-95.365563,29.424882,-98.492893
1,1130 Travis St,Houston,Travis Food Store,29.756416,-95.36665,29.424694,-98.492108
2,914 Main St,Houston,Amogh Gelato Blue,29.758485,-95.363798,29.424436,-98.4911
3,930 Main St,Houston,Rico,29.758485,-95.363798,29.421034,-98.493672
4,1001 Texas St,Houston,Binz 1001 Texas Ave,29.759717,-95.362164,29.425664,-98.499453
5,1101 Main St,Houston,Main Food Store,29.754684,-95.366637,29.425726,-98.50059
6,420 Main St,Houston,Georgia's Market,29.760943,-95.361855,29.417371,-98.49596
7,1301 Fannin St,Houston,Atlantic Trading,29.753815,-95.366093,29.431552,-98.508992
8,1200 McKinney St,Houston,The Herb Shop,29.755387,-95.362344,29.419101,-98.510558
9,1201 Holly St,Houston,Eaton Manufacturing,29.769852,-95.368691,29.439531,-98.503159
10,1019 Andrews St,Houston,Song Huan Xu,29.755806,-95.378559,29.409588,-98.48671
11,1409 Robin St,Houston,Waddys Grocery Store,29.756404,-95.381779,29.421008,-98.475538
12,2215 Washington Ave,Houston,Mid-Century Pavilion,29.768194,-95.381129,29.419321,-98.513081
13,2313 Bagby St,Houston,Midtown Food Store,29.750359,-95.377756,29.439941,-98.505543
14,2225 Louisiana St,Houston,Randalls,29.749007,-95.375051,29.442395,-98.486014
15,2305 Center St,Houston,Long Life Natural Center,29.76904,-95.381937,29.420431,-98.472994
16,2004 Houston Ave,Houston,Oscar Food Mart,29.775562,-95.37242,29.444527,-98.491846
17,2018 Rusk St,Houston,Epicurean Express Market,29.75275,-95.354281,29.420528,-98.516423
18,1505 Sawyer St,Houston,Itc International,29.771703,-95.382774,29.410131,-98.510022
19,101 Chartres St,Houston,Idf,29.758193,-95.351244,29.418567,-98.516476
20,88 Dennis St,Houston,Lankford Grocery & Market,29.75015,-95.383722,29.413757,-98.514995
21,2202 Lamar St,Houston,Global Coffee Co,29.749641,-95.354627,29.41485,-98.473249
22,305 Tuam St,Houston,Sunny's Food Store,29.747109,-95.381549,29.439529,-98.474789
23,2110 Jefferson St,Houston,Double Nine Ginseng Herb,29.744938,-95.359634,29.417387,-98.519127
24,702 W Gray St,Houston,Shah Foodmart,29.753393,-95.389011,29.404926,-98.507867
25,2201 Jefferson St,Houston,A F Imports & Wholesale Co,29.744514,-95.358936,29.427642,-98.52148
